2018 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Rowe,02530000,"        $667,040.00","      $1,939,716.88","      $1,272,676.88",291,"        $637,861.27",304,
Salem,02580000,"     $54,054,197.19","     $72,567,602.97","     $18,513,405.78",134,"     $52,768,572.01",138,
Sandwich,02610000,"     $30,389,567.00","     $43,984,764.70","     $13,595,197.70",145,"     $28,141,702.86",156,
Saugus,02620000,"     $28,618,006.02","     $42,739,904.47","     $14,121,898.45",149,"     $27,708,148.93",154,
Savoy,02630000,"        $828,632.00","        $933,213.71","        $104,581.71",113,"        $634,366.35",147,
Scituate,02640000,"     $29,048,954.00","     $41,751,628.69","     $12,702,674.69",144,"     $28,537,003.20",146,
Seekonk,02650000,"     $19,316,496.97","     $30,324,929.05","     $11,008,432.08",157,"     $18,642,353.39",163,
Sharon,02660000,"     $34,557,863.00","     $52,105,916.32","     $17,548,053.32",151,"     $33,110,463.78",157,
Shawsheen Valley Regional Vocational Technical,08710000,"     $22,064,459.73","     $26,895,649.82","      $4,831,190.09",122,"     $20,779,974.22",129,
Sherborn,02690000,"      $3,806,639.00","      $7,479,093.29","      $3,672,454.29",196,"      $3,806,638.95",196,
Shrewsbury,02710000,"     $64,361,082.00","     $76,191,791.69","     $11,830,709.69",118,"     $58,194,036.86",131,
Shutesbury,02720000,"      $1,303,460.00","      $2,510,406.09","      $1,206,946.09",193,"      $1,157,848.56",217,
Silver Lake,07600000,"     $20,188,446.00","     $24,558,914.78","      $4,370,468.78",122,"     $20,138,841.10",122,
Somerset,02730000,"     $17,125,372.00","     $23,762,167.05","      $6,636,795.05",139,"     $17,125,371.88",139,
Somerset Berkley Regional School District,07630000,"     $10,632,805.00","     $13,453,094.33","      $2,820,289.33",127,"     $10,632,804.85",127,
Somerville,02740000,"     $73,399,924.00","     $97,072,297.97","     $23,672,373.97",132,"     $64,130,648.11",151,
South Hadley,02780000,"     $20,830,541.00","     $25,193,297.69","      $4,362,756.69",121,"     $19,637,074.33",128,
South Middlesex Regional Vocational Technical,08290000,"     $12,258,245.00","     $16,715,447.49","      $4,457,202.49",136,"     $12,170,547.12",137,
South Shore Regional Vocational Technical,08730000,"     $10,118,296.00","     $11,012,018.00","        $893,722.00",109,"     $10,085,090.36",109,
Southampton,02750000,"      $5,669,550.00","      $6,059,940.62","        $390,390.62",107,"      $4,863,203.52",125,
Southborough,02760000,"     $12,401,496.00","     $23,374,938.00","     $10,973,442.00",188,"     $11,409,894.39",205,
Southbridge,02770000,"     $28,503,932.00","     $29,835,637.74","      $1,331,705.74",105,"     $28,503,932.08",105,
Southeastern Regional Vocational Technical,08720000,"     $24,658,562.00","     $24,695,597.53","         $37,035.53",100,"     $24,658,561.66",100,
Southern Berkshire,07650000,"      $7,849,025.00","     $13,754,693.85","      $5,905,668.85",175,"      $7,039,960.84",195,
Southern Worcester County Regional Vocational Technical,08760000,"     $18,824,453.05","     $18,414,753.93","       -$409,699.12",98,"     $18,134,754.56",102,
Southwick-Tolland-Granville Regional School District,07660000,"     $20,212,462.00","     $20,662,494.60","        $450,032.60",102,"     $15,643,746.02",132,
Spencer-E Brookfield,07670000,"     $21,420,333.00","     $22,032,994.70","        $612,661.70",103,"     $17,851,020.25",123,
Springfield,02810000,"    $370,375,984.20","    $367,238,303.70","     -$3,137,680.51",99,"    $370,375,982.60",99,
Stoneham,02840000,"     $24,560,017.00","     $35,114,506.00","     $10,554,489.00",143,"     $24,538,424.86",143,
Stoughton,02850000,"     $39,413,322.00","     $51,491,607.42","     $12,078,285.42",131,"     $38,830,414.52",133,
Sturbridge,02870000,"      $8,493,181.00","     $11,365,973.43","      $2,872,792.43",134,"      $8,170,415.97",139,
Sudbury,02880000,"     $26,002,802.00","     $41,098,003.90","     $15,095,201.90",158,"     $25,474,395.71",161,
Sunderland,02890000,"      $2,408,697.00","      $2,762,639.28","        $353,942.28",115,"      $2,030,462.00",136,
Sutton,02900000,"     $15,111,943.00","     $17,719,227.77","      $2,607,284.77",117,"     $13,414,412.03",132,
Swampscott,02910000,"     $20,655,964.00","     $31,776,473.90","     $11,120,509.90",154,"     $20,655,963.82",154,
Swansea,02920000,"     $20,647,363.00","     $24,090,577.03","      $3,443,214.03",117,"     $20,221,515.14",119,
Tantasqua,07700000,"     $18,792,623.00","     $21,271,187.62","      $2,478,564.62",113,"     $18,792,623.12",113,
Taunton,02930000,"     $91,224,276.00","     $97,153,992.78","      $5,929,716.78",107,"     $91,224,275.81",107,
Tewksbury,02950000,"     $40,883,967.00","     $53,721,397.64","     $12,837,430.64",131,"     $34,900,617.06",154,
Tisbury,02960000,"      $3,760,490.00","      $8,651,742.44","      $4,891,252.44",230,"      $3,760,490.30",230,
Topsfield,02980000,"      $5,569,007.00","      $9,418,663.00","      $3,849,656.00",169,"      $5,307,497.25",177,
Tri-County Regional Vocational Technical,08780000,"     $16,426,890.00","     $16,804,074.76","        $377,184.76",102,"     $15,811,834.24",106,
Triton,07730000,"     $28,991,582.00","     $36,444,521.09","      $7,452,939.09",126,"     $24,376,762.31",150,
Truro,03000000,"      $2,012,862.00","      $6,133,601.41","      $4,120,739.41",305,"      $2,003,679.84",306,
Tyngsborough,03010000,"     $18,709,456.00","     $22,685,854.12","      $3,976,398.12",121,"     $16,426,722.37",138,
Up-Island Regional,07740000,"      $3,885,923.00","     $10,828,280.40","      $6,942,357.40",279,"      $3,842,627.48",282,
Upper Cape Cod Regional Vocational Technical,08790000,"     $11,636,066.00","     $13,581,578.80","      $1,945,512.80",117,"     $11,636,066.28",117,
Uxbridge,03040000,"     $20,392,895.00","     $25,831,505.46","      $5,438,610.46",127,"     $18,455,125.45",140,
Wachusett,07750000,"     $67,325,907.00","     $80,064,922.41","     $12,739,015.41",119,"     $67,325,906.78",119,
Wakefield,03050000,"     $35,673,993.00","     $48,353,343.48","     $12,679,350.48",136,"     $35,673,992.74",136,
Wales,03060000,"      $1,580,013.00","      $1,992,381.40","        $412,368.40",126,"      $1,580,013.10",126,
Walpole,03070000,"     $38,679,907.71","     $52,520,704.13","     $13,840,796.42",136,"     $36,969,856.91",142,
Waltham,03080000,"     $66,316,689.00","    $108,911,005.20","     $42,594,316.19",164,"     $65,721,454.70",166,
Ware,03090000,"     $14,617,553.00","     $16,478,181.50","      $1,860,628.50",113,"     $14,617,553.31",113,
Wareham,03100000,"     $30,448,305.00","     $38,170,952.57","      $7,722,647.57",125,"     $30,448,305.40",125,
Watertown,03140000,"     $28,658,583.00","     $51,379,303.00","     $22,720,720.00",179,"     $28,658,582.60",179,
Wayland,03150000,"     $25,043,290.00","     $44,971,033.62","     $19,927,743.62",180,"     $25,043,290.04",180,
Webster,03160000,"     $22,425,991.00","     $25,778,480.65","      $3,352,489.65",115,"     $22,425,991.21",115,
Wellesley,03170000,"     $49,446,877.00","     $87,884,484.62","     $38,437,607.62",178,"     $49,446,876.96",178,
Wellfleet,03180000,"      $1,107,735.00","      $3,467,524.82","      $2,359,789.82",313,"      $1,107,735.44",313,
West Boylston,03220000,"      $9,742,980.00","     $13,194,816.26","      $3,451,836.26",135,"      $8,877,321.11",149,
West Bridgewater,03230000,"     $10,458,299.00","     $14,628,072.48","      $4,169,773.48",140,"     $10,346,624.46",141,
West Springfield,03320000,"     $46,379,224.00","     $50,622,669.78","      $4,243,445.78",109,"     $46,379,224.35",109,
Westborough,03210000,"     $36,644,927.00","     $56,066,973.76","     $19,422,046.76",153,"     $36,606,246.04",153,
Westfield,03250000,"     $60,917,917.00","     $69,596,112.57","      $8,678,195.57",114,"     $60,917,916.74",114,
Westford,03260000,"     $51,912,190.00","     $64,544,620.08","     $12,632,430.08",124,"     $46,319,271.28",139,
Westhampton,03270000,"      $1,388,272.00","      $2,420,105.11","      $1,031,833.11",174,"      $1,297,572.89",187,
Weston,03300000,"     $21,251,738.00","     $47,032,524.19","     $25,780,786.19",221,"     $21,251,738.29",221,
Westport,03310000,"     $16,824,813.00","     $20,081,432.24","      $3,256,619.24",119,"     $14,885,291.29",135,
Westwood,03350000,"     $30,014,822.00","     $50,832,028.12","     $20,817,206.12",169,"     $30,014,821.71",169,
Weymouth,03360000,"     $77,091,645.00","     $85,488,150.96","      $8,396,505.96",111,"     $69,172,635.26",124,
Whately,03370000,"        $980,331.09","      $1,945,595.97","        $965,264.88",198,"        $869,184.12",224,
Whitman-Hanson,07800000,"     $42,179,416.00","     $44,239,289.74","      $2,059,873.74",105,"     $38,233,603.85",116,
Whittier Regional Vocational Technical,08850000,"     $19,762,413.00","     $21,362,573.00","      $1,600,160.00",108,"     $19,762,413.32",108,
Williamsburg,03400000,"      $1,758,356.15","      $3,004,658.84","      $1,246,302.70",171,"      $1,640,814.87",183,
Williamstown,03410000,"      $4,094,882.00","      $7,534,228.82","      $3,439,346.82",184,"      $3,766,818.16",200,
Wilmington,03420000,"     $36,782,837.76","     $52,708,191.75","     $15,925,354.00",143,"     $34,239,954.20",154,
Winchendon,03430000,"     $16,258,905.40","     $16,230,051.57","        -$28,853.83",100,"     $14,578,929.59",111,
Winchester,03440000,"     $43,721,449.00","     $58,178,594.25","     $14,457,145.25",133,"     $43,175,541.00",135,
Winthrop,03460000,"     $21,129,260.00","     $23,523,881.28","      $2,394,621.29",111,"     $20,873,787.71",113,
Woburn,03470000,"     $50,609,197.04","     $74,717,330.23","     $24,108,133.19",148,"     $50,380,963.06",148,
Worcester,03480000,"    $342,886,581.00","    $347,229,486.20","      $4,342,905.16",101,"    $342,886,580.80",101,
Worthington,03490000,"      $1,207,519.00","      $1,645,254.55","        $437,735.55",136,"      $1,160,346.28",142,
Wrentham,03500000,"     $10,843,605.00","     $13,849,895.83","      $3,006,290.83",128,"      $8,596,118.86",161,
State Totals,00000000," $10,788,101,384.00"," $13,557,730,448.00","  $2,769,629,064.00",126," $10,371,756,771.00",131,
